,Address,Area,Baths,Beds,Price
1929,"1808 Kalorama Sq Nw #19, Washington, DC 20008","3,566 sqft",5.5,4,$2.80m
1930,"3900 Cathedral Ave Nw Apt 804a, Washington, DC 20016","1,625 sqft",2,2,$849k
1931,"1922 1st St Nw Apt A, Washington, DC 20001","2,093 sqft",3,3,$549k
1932,"53 53rd Pl Se, Washington, DC 20019",996 sqft,N/A,2,$113k
1933,"4139 Alabama Ave Se, Washington, DC 20019","2,324 sqft",3,4,$400k
1934,"310 3rd St Se, Washington, DC 20003","1,200 sqft",2,4,$1.35m
1935,"2425 L St Nw Apt 730, Washington, DC 20037","1,405 sqft",2,2,$1.29m
1936,"1527 Farragut St Nw, Washington, DC 20011","5,200 sqft",3.5,5,$1.40m
1937,"3900 Cathedral Ave Nw Apt 604a, Washington, DC 20016","1,600 sqft",2,2,$674k
1938,"1606 Fort Pl Ne, Washington, DC 20018",0.08 acres,N/A,N/A,$210k
1939,"2210 Bryan Pl Se, Washington, DC 20020","2,048 sqft",2,2,$379k
1940,"1324 Vermont Ave Nw, Washington, DC 20005","4,439 sqft",7,8,$3.20m
1941,"5221 5th St Nw, Washington, DC 20011","2,050 sqft",3.5,2,$650k
1942,"809 6th St Nw Apt 55, Washington, DC 20001",906 sqft,2,2,$550k
1943,"1025 1st St Se Apt 613, Washington, DC 20003","1,492 sqft",2,2,$900k
1944,"322 E Capitol St Ne, Washington, DC 20003","4,352 sqft",4,5,$2.15m
1945,"5270 Loughboro Rd Nw, Washington, DC 20016","3,860 sqft",4,5,$1.80m
1946,"1225 13th St Nw Apt 407, Washington, DC 20005",643 sqft,1,1,$400k
1947,"1330 New Hampshire Ave Nw Apt 425, Washington, DC 20036",765 sqft,1,1,$439k
1948,"1121 Penn St Ne, Washington, DC 20002",0.03 acres,N/A,N/A,$800k
1949,"1427 W Virginia Ave Ne, Washington, DC 20002","1,400 sqft",2.5,3,$549k
1950,"106 56th Pl Se, Washington, DC 20019","1,360 sqft",2.5,3,$359k
1951,"2022 N St Nw, Washington, DC 20036","2,824 sqft",4,4,$1.95m
1952,"825 Fern Pl Nw, Washington, DC 20012","1,025 sqft",3,4,$630k
1953,"1232 Hamlin St Ne, Washington, DC 20017","1,330 sqft",2.5,3,$1.15m
1954,"1620 15th St Nw, Washington, DC 20009","4,140 sqft",7,5,$4.00m
1955,"3330 Dent Pl Nw, Washington, DC 20007","2,440 sqft",3.5,2,$1.80m
1956,"5406 Connecticut Ave Nw Apt 206, Washington, DC 20015",850 sqft,1,1,$259k
1957,"1720 Newton St Ne, Washington, DC 20018","1,520 sqft",3.5,3,$649k
1958,"2425 L St Nw Apt 520, Washington, DC 20037",810 sqft,1,2,$625k
1959,"1312 Massachusetts Ave Nw Apt 106, Washington, DC 20005",688 sqft,1,1,$410k
1960,"2435 Tracy Pl Nw, Washington, DC 20008","6,330 sqft",8,6,$5.00m
1961,"1363 Childress St Ne Apt 3, Washington, DC 20002",800 sqft,2,2,$365k
1962,"4200 Massachusetts Ave Nw Apt 414, Washington, DC 20016","2,734 sqft",3,2,$1.60m
1963,"2322 N Capitol St Nw, Washington, DC 20002","4,064 sqft",2,4,$800k
1964,"1424 L St Se Apt 301, Washington, DC 20003","1,600 sqft",2.5,2,$650k
1965,"1720 Hobart St Nw, Washington, DC 20009","2,606 sqft",4,4,$1.40m
1966,"418 Seward Sq Se, Washington, DC 20003","3,576 sqft",8,8,$2.65m
1967,"2725 Ontario Rd Nw, Washington, DC 20009","2,942 sqft",4,3,$1.60m
1968,"5009 Hawthorne Pl Nw, Washington, DC 20016","2,654 sqft",3.5,4,$1.47m
1969,"1382 Morris Rd Se, Washington, DC 20020","1,156 sqft",N/A,2,$190k
1970,"3101 New Mexico Ave Nw Apt 857, Washington, DC 20016",915 sqft,1,1,$379k
1971,"1077 30th St Nw #310, Washington, DC 20007","1,309 sqft",2,2,$745k
1972,"1711 Massachusetts Ave Nw #218, Washington, DC 20036",500 sqft,1,N/A,$285k
1973,"1304 Adams St Ne Apt 2, Washington, DC 20018",765 sqft,1,2,$290k
1974,"218 Maryland Ave Ne, Washington, DC 20002","4,161 sqft",5,5,$2.50m
1975,"83 New York Ave Nw #b, Washington, DC 20001","1,010 sqft",2,2,$470k
1976,"4501 Dix St Ne, Washington, DC 20019",N/A,N/A,N/A,$7k
1977,"1310 Q St Nw #6, Washington, DC 20009","2,599 sqft",4,3,$3.00m
1978,"1725 1727 Capitol Ave Ne, Washington, DC 20002",0.12 acres,N/A,N/A,$1.39m
1979,"465 Luray Pl Nw, Washington, DC 20010","1,920 sqft",4,4,$879k
1980,"530 N St Sw Apt S410, Washington, DC 20024",564 sqft,1,1,$275k
1981,"1026 16th St Nw #502/503, Washington, DC 20036","1,700 sqft",2,2,$1.10m
1982,"4727 Sheriff Rd Ne, Washington, DC 20019",572 sqft,2,3,$268k
1983,"2921 26th St Ne, Washington, DC 20018","5,295 sqft",7,6,$949k
1984,"2020 12th St Nw Apt 116, Washington, DC 20009","1,076 sqft",2,2,$749k
1985,"4201 Cathedral Ave Nw Apt 215e, Washington, DC 20016","1,860 sqft",2,3,$639k
1986,"244 10th St Ne, Washington, DC 20002",650 sqft,2,2,$595k
1987,"3006 13th St Nw Apt A, Washington, DC 20009","1,683 sqft",3,3,$699k
1988,"209 Peabody St Nw, Washington, DC 20011","2,280 sqft",3,4,$800k
1989,"1628 11th St Nw Unit 101, Washington, DC 20001","1,712 sqft",2.5,2,$1.10m
1990,"111 Quincy Pl Ne #3, Washington, DC 20002","3,700 sqft",3,2,$1.05m
1991,"4000 Cathedral Ave Nw Apt 115b, Washington, DC 20016",920 sqft,1,1,$260k
1992,"4320 Westover Pl Nw, Washington, DC 20016","2,028 sqft",4,3,$1.10m
1993,"1860 California St Nw Apt 101, Washington, DC 20009",650 sqft,1,1,$299k
1994,"4348 Westover Pl Nw, Washington, DC 20016","2,066 sqft",3.5,3,$1.04m
1995,"3051 Albemarle St Nw, Washington, DC 20008","3,914 sqft",5,5,$2.00m
1996,"1440 N St Nw Apt 815, Washington, DC 20005",490 sqft,1,1,$265k
1997,"4124 Jenifer St Nw, Washington, DC 20015","3,603 sqft",4.5,5,$1.80m
1998,"1124 25th St Nw Apt T5, Washington, DC 20037",736 sqft,1,2,$520k
1999,"4512 Edson Pl Ne, Washington, DC 20019","1,111 sqft",1,2,$310k
2000,"1619 Gainesville St Se Apt 301, Washington, DC 20020","1,673 sqft",2.5,3,$310k
2001,"5410 Connecticut Ave Nw Apt 904, Washington, DC 20015",792 sqft,1,1,$299k
2002,"1177 22nd St Nw #3f, Washington, DC 20037","1,206 sqft",2,2,$1.30m
2003,"1601 18th St Nw Apt 506, Washington, DC 20009",651 sqft,1,1,$355k
2004,"3258 O St Nw, Washington, DC 20007","3,845 sqft",3.5,4,$2.70m
2005,"V Street Se, Washington, DC 20020",0.14 acres,N/A,N/A,$575k
2006,"3237 N St Nw Apt 14, Washington, DC 20007",425 sqft,1,1,$365k
2007,"2939 Van Ness St Nw Apt 322, Washington, DC 20008",790 sqft,1,1,$315k
2008,"3701 Connecticut Ave Nw Apt 218, Washington, DC 20008",922 sqft,1,1,$268k
2009,"3701 Connecticut Ave Nw Apt 618, Washington, DC 20008",940 sqft,1,1,$399k
2010,"55th Street Ne, Washington, DC 20019",0.05 acres,N/A,N/A,$85k
2011,"1390 Kenyon St Nw Apt 725, Washington, DC 20010","1,111 sqft",2,2,$539k
2012,"1325 21st St Nw, Washington, DC 20036","2,736 sqft",3.5,6,$3.00m
2013,"3641 Fulton St Nw, Washington, DC 20007","2,466 sqft",3.5,6,$1.30m
2014,"4200 Massachusetts Ave Nw Apt 912, Washington, DC 20016","1,666 sqft",2,2,$730k
2015,"1816 New Hampshire Ave Nw Apt 302, Washington, DC 20009",336 sqft,1,N/A,$275k
2016,"1117 Morse St Ne, Washington, DC 20002","1,520 sqft",2,4,$700k
2017,"Pine St Ne, Washington, DC 20019",0.05 acres,N/A,N/A,$70k
2018,"34 Elmira St Sw, Washington, DC 20032","1,536 sqft",1,3,$265k
2019,"5133 7th St Nw, Washington, DC 20011",832 sqft,2,3,$530k
2020,"5135 7th St Nw, Washington, DC 20011","1,176 sqft",2,3,$570k
2021,"4880 Glenbrook Rd Nw, Washington, DC 20016","6,083 sqft",7.5,6,$6.95m
2022,"1234 Rhode Island Ave Ne, Washington, DC 20018","1,088 sqft",2.5,3,$590k
2023,"2519 Massachusetts Ave Nw, Washington, DC 20008","2,547 sqft",3.5,3,$2.00m
2024,"2723 Unicorn Ln Nw, Washington, DC 20015","4,124 sqft",5,5,$1.02m
2025,"3232 O St Nw, Washington, DC 20007","2,859 sqft",4,4,$2.44m
2026,"1257 35th St Nw, Washington, DC 20007",848 sqft,1,1,$799k
2027,"2400 41st St Nw Apt 115, Washington, DC 20007",707 sqft,1,1,$235k
2028,"906 Crittenden St Nw, Washington, DC 20011","1,680 sqft",4,4,$869k
2029,"3005 O St Nw, Washington, DC 20007",0.06 acres,4,4,$3.00m
2030,"690 Oglethorpe St Ne, Washington, DC 20011","1,272 sqft",3,4,$530k
2031,"1725 Lanier Pl Nw Apt 3a, Washington, DC 20009",703 sqft,1,2,$435k
2032,"1657 31st St Nw #206/208, Washington, DC 20007","1,400 sqft",2,2,$799k
2033,"1080 Wisconsin Ave Nw Apt 1004, Washington, DC 20007",900 sqft,2,1,$450k
2034,"920 I St Nw Apt 1006, Washington, DC 20001",772 sqft,1,1,$700k
2035,"909 Quincy St Nw Apt 2, Washington, DC 20011","1,230 sqft",2.5,2,$669k
2036,"909 Quincy St Nw Apt 1, Washington, DC 20011","1,230 sqft",2.5,2,$669k
2037,"4301 Military Rd Nw Penthouse 8, Washington, DC 20015","2,833 sqft",4,4,$2.00m
2038,"2634 Woodley Pl Nw, Washington, DC 20008","3,150 sqft",N/A,N/A,$2.00m
2039,"2835 Gainesville St Se Apt 301, Washington, DC 20020",794 sqft,1,2,$150k
2040,"2501 Pennsylvania Ave Nw Apt Ph2b, Washington, DC 20037","4,500 sqft",3.5,3,$5.75m
2041,"675 E St Nw Apt 440, Washington, DC 20004",650 sqft,1,1,$409k
2042,"3513 20th St Ne, Washington, DC 20018","1,120 sqft",4,4,$840k
2043,"555 Massachusetts Ave Nw Apt 913, Washington, DC 20001",904 sqft,2,2,$599k
2044,"1920 12th St Nw Apt 2, Washington, DC 20009","2,112 sqft",3,2,$1.40m
2045,"2604 31st St Nw, Washington, DC 20008","3,759 sqft",5,4,$3.85m
2046,"1408 35th St Nw, Washington, DC 20007","3,687 sqft",6.5,5,$3.20m
2047,"3241 N St Nw Apt 3, Washington, DC 20007","1,053 sqft",2.5,2,$829k
2048,"1228 46th St Se, Washington, DC 20019",0.08 acres,2,3,$350k
2049,"2804 Sherman Ave Nw #a, Washington, DC 20001","1,304 sqft",2.5,2,$750k
2050,"2804 Sherman Ave Nw #b, Washington, DC 20001","1,580 sqft",2.5,2,$875k
2051,"1099 22nd St Nw Apt 410, Washington, DC 20037","2,169 sqft",3,3,$1.28m
2052,"1505 Howard Rd Se, Washington, DC 20020","1,216 sqft",3.5,2,$275k
2053,"4817 Iowa Ave Nw, Washington, DC 20011","3,268 sqft",7,6,$1.30m
2054,"1225 Fairmont St Nw Apt 202, Washington, DC 20009",605 sqft,1,2,$301k
2055,"1401 6th St Nw, Washington, DC 20001",0.02 acres,2.5,3,$1.50m
2056,"1240 Simms Pl Ne, Washington, DC 20002","1,120 sqft",N/A,N/A,$399k
2057,"708 Burns St Se, Washington, DC 20019",832 sqft,2,2,$268k
2058,"3110 Chain Bridge Rd Nw, Washington, DC 20016","7,600 sqft",6,5,$4.00m
2059,"925 H St Nw Apt 908, Washington, DC 20001","1,423 sqft",2.5,2,$1.50m
2060,"130 E St Se, Washington, DC 20003","1,850 sqft",3,3,$1.10m
2061,"4712 Windom Pl Nw, Washington, DC 20016","1,896 sqft",3,4,$1.20m
2062,"2900 K St Nw Apt 601, Washington, DC 20007","6,000 sqft",6,4,$8.95m
2063,"5150 Klingle St Nw, Washington, DC 20016",0.19 acres,6,7,$3.00m
2064,"910 Savannah St Se, Washington, DC 20032","1,554 sqft",1.5,3,$650k
2065,"5836 Macarthur Blvd Nw, Washington, DC 20016","5,780 sqft",6,5,$2.00m
2066,"5524 Macarthur Blvd Nw, Washington, DC 20016","4,928 sqft",4.5,5,$1.65m
2067,"2500 Q St Nw Apt 539, Washington, DC 20007",679 sqft,1,1,$329k
2068,"3901 Cathedral Ave Nw #501, Washington, DC 20016",638 sqft,1,1,$250k
2069,"415 Randolph St Nw #1, Washington, DC 20011","1,546 sqft",3,3,$645k
2070,"3569 Warder St Nw, Washington, DC 20010",0.1 acres,3,4,$1.10m
2071,"4228 Reno Rd Nw, Washington, DC 20008","1,874 sqft",3,4,$870k
2072,"Nash Pl Se, Washington, DC 20020","2,655 sqft",N/A,3,$70k
2073,"1837 16th St Nw #1-4, Washington, DC 20009","3,045 sqft",4,4,$1.50m
2074,"2516 Q St Nw Apt Q302, Washington, DC 20007","1,650 sqft",2,2,$1.50m
2075,"2660 Connecticut Ave Nw Unit 6c, Washington, DC 20008","3,123 sqft",4,3,$4.00m
2076,"2612 22nd St Ne, Washington, DC 20018","1,128 sqft",2,3,$499k
2077,"317 W St Ne #2, Washington, DC 20002","1,463 sqft",2,2,$650k
2078,"2660 Connecticut Ave Nw #7c, Washington, DC 20008","4,648 sqft",4,3,$6.50m
2079,"2500 Q St Nw Apt 504, Washington, DC 20007",837 sqft,1,1,$425k
2080,"1316 R St Nw, Washington, DC 20009",0.01 acres,N/A,N/A,$3.50m
2081,"2402 Wyoming Ave Nw, Washington, DC 20008","5,130 sqft",4,3,$3.40m
2082,"1309 P St Nw Apt 1, Washington, DC 20005","1,400 sqft",2,1,$699k
2083,"1628 11th St Nw Unit 107, Washington, DC 20001","1,704 sqft",2.5,2,$1.29m
2084,"5615 1st Pl Nw, Washington, DC 20011","3,200 sqft",N/A,N/A,$1.48m
2085,"61st Street Ne, Washington, DC 20019",0.07 acres,N/A,N/A,$199k
2086,"2715 31st Pl Nw, Washington, DC 20008","4,040 sqft",6,5,$2.70m
2087,"705 Randolph St Nw, Washington, DC 20011","3,047 sqft",4,7,$1.45m
2088,"83 New York Ave Nw #a, Washington, DC 20001","2,840 sqft",2,2,$515k
2089,"1657 Montello Ave Ne, Washington, DC 20002",0.04 acres,N/A,N/A,$475k
2090,"1115 M St Nw, Washington, DC 20005","1,100 sqft",2,1,$2.45m
2091,"29th St Nw, Washington, DC 20015",0.18 acres,N/A,1,$499k
2092,"3303 Water St Nw Unit 8c, Washington, DC 20007","2,226 sqft",2,2,$3.49m
2093,"1821 23rd St Nw, Washington, DC 20008","4,950 sqft",6,5,$2.85m
2094,"2501 M St Nw Apt 713, Washington, DC 20037","1,446 sqft",3,2,$1.38m
2095,"2660 Connecticut Ave Nw Unit 7c, Washington, DC 20008","4,648 sqft",3.5,3,$6.50m
2096,"1015 33rd St Nw Apt 608, Washington, DC 20007","1,726 sqft",2.5,2,$949k
2097,"4130 4th St Se Apt 3, Washington, DC 20032",722 sqft,1,2,$120k
2098,"5155 Rockwood Pkwy Nw, Washington, DC 20016","4,700 sqft",6,5,$2.20m
2099,"5213 Dix St Ne, Washington, DC 20019",0.07 acres,N/A,N/A,$130k
2100,"2115 Suitland Ter Se Apt 202, Washington, DC 20020",637 sqft,1,2,$90k
2101,"5300 Macarthur Blvd Nw, Washington, DC 20016","3,555 sqft",4,3,$1.20m
2102,"1117 10th St Nw Apt 1103, Washington, DC 20001","1,570 sqft",2.5,2,$1.15m
2103,"3883 Connecticut Ave Nw Apt 107, Washington, DC 20008",659 sqft,1,1,$415k
2104,"1429 Girard St Nw Apt 305, Washington, DC 20009","1,200 sqft",2,3,$375k
2105,"3104 S Dakota Ave Ne, Washington, DC 20018","5,249 sqft",N/A,N/A,$725k
2106,"86 Kalorama Cir Nw, Washington, DC 20008","6,185 sqft",9,7,$5.90m
2107,"210 Bates St Nw, Washington, DC 20001","2,118 sqft",2,3,$700k
2108,"1300 W St Nw, Washington, DC 20009",0.02 acres,N/A,N/A,$1.40m
2109,"258 57th Pl Ne, Washington, DC 20019",0.03 acres,N/A,N/A,$250k
2110,"2604 Stanton Rd Se, Washington, DC 20020",0.3 acres,N/A,N/A,$900k
2111,"3613 10th St Nw, Washington, DC 20010","1,156 sqft",1,3,$900k
2112,"1239 30th St Nw, Washington, DC 20007","1,680 sqft",2,2,$1.17m
2113,"1015 33rd St Nw Apt 703, Washington, DC 20007","1,527 sqft",3,2,$835k
2114,"4400 Garfield St Nw, Washington, DC 20007","12,000 sqft",10,8,$10.00m
2115,"2227 20th St Nw Apt 204, Washington, DC 20009",455 sqft,1,N/A,$270k
2116,"2701 32nd St Nw, Washington, DC 20008","4,743 sqft",6,5,$11.20m
2117,"2720 Dumbarton St Nw, Washington, DC 20007","5,155 sqft",6.5,6,$5.50m
2118,"4200 Cathedral Ave Nw Apt 910, Washington, DC 20016",938 sqft,1,2,$400k
2119,"4526 Foxhall Cres Nw, Washington, DC 20007","3,180 sqft",3.5,4,$1.60m
2120,"2801 New Mexico Ave Nw Apt 808, Washington, DC 20007","1,554 sqft",3,2,$899k
2121,"2323 Tracy Pl Nw, Washington, DC 20008","4,492 sqft",4,6,$3.00m
2122,"1421 Columbia Rd Nw Apt 303, Washington, DC 20009",800 sqft,1,2,$429k
2123,"1512 Marion St Nw Apt 102, Washington, DC 20001",378 sqft,1,1,$290k
2124,"434 20th St Ne, Washington, DC 20002",800 sqft,1.5,2,$480k
2125,"430 Upshur St Nw, Washington, DC 20011","1,200 sqft",2,3,$710k
2126,"529 Lamont St Nw Apt 303, Washington, DC 20010",800 sqft,1,2,$430k
2127,"1920 17th St Se, Washington, DC 20020",522 sqft,N/A,N/A,$800k
2128,"901 D St Ne Apt 4, Washington, DC 20002",705 sqft,1,1,$490k
2129,"3301 17th St Ne, Washington, DC 20018","1,810 sqft",3,3,$660k
2130,"4656 Broad Branch Rd Nw, Washington, DC 20008",0.28 acres,N/A,N/A,$799k
2131,"4654 Broad Branch Rd Nw, Washington, DC 20008",0.22 acres,N/A,N/A,$799k
2132,"4652 Broad Branch Rd Nw, Washington, DC 20008",0.24 acres,N/A,N/A,$799k
2133,"2801 Connecticut Ave Nw Apt 17, Washington, DC 20008",988 sqft,1,2,$575k
2134,"919 45th Pl Ne, Washington, DC 20019",0.09 acres,3,3,$350k
2135,"Bruce Pl Se, Washington, DC 20020",0.83 acres,N/A,N/A,$1.00m
2136,"4607 16th St Nw, Washington, DC 20011","2,132 sqft",3.5,5,$1.03m
2137,"2411 3rd St Ne, Washington, DC 20002",905 sqft,2.5,2,$575k
2138,"3251 Prospect St Nw Apt 301, Washington, DC 20007","1,500 sqft",2,2,$1.50m
2139,"4714 9th St Nw, Washington, DC 20011","1,364 sqft",1,3,$580k
2140,"1099 22nd St Nw Apt 811, Washington, DC 20037","1,584 sqft",2.5,2,$795k
2141,"64 Adams St Nw, Washington, DC 20001","1,560 sqft",1.5,3,$490k
2142,"700 New Hampshire Ave Nw #515, Washington, DC 20037",932 sqft,1,1,$475k
2143,"1841 5th St Nw, Washington, DC 20001","1,978 sqft",2,4,$435k
2144,"3141 24th St Ne, Washington, DC 20018","1,942 sqft",4,4,$499k
2145,"3634 Camden St Se, Washington, DC 20020","1,564 sqft",1.5,3,$550k
2146,"3 Washington Cir Nw Apt 1004, Washington, DC 20037","1,050 sqft",2,1,$445k
2147,"2730 Chain Bridge Rd Nw, Washington, DC 20016","6,112 sqft",6,5,$3.40m
2148,"1615 Fairlawn Ave Se, Washington, DC 20020","1,024 sqft",2,4,$470k
2149,"529 23rd Pl Ne, Washington, DC 20002",960 sqft,1,2,$775k
2150,"2024 16th St Nw, Washington, DC 20009","1,091 sqft",N/A,1,$40k
2151,"113 U St Ne, Washington, DC 20002","1,080 sqft",N/A,N/A,$900k
2152,"2501 M St Nw Apt 608, Washington, DC 20037","1,075 sqft",1.5,1,$865k
2153,"1673 Wisconsin Ave Nw, Washington, DC 20007","2,424 sqft",3,3,$1.55m
2154,"560 N St Sw Apt N411, Washington, DC 20024",835 sqft,1,1,$350k
2155,"2720 Wisconsin Ave Nw Apt 107, Washington, DC 20007",450 sqft,1,N/A,$180k
2156,"4020 6th St Se, Washington, DC 20032",0.13 acres,N/A,N/A,$775k
2157,"1657 31st St Nw Apt 310, Washington, DC 20007",600 sqft,1,1,$350k
2158,"1375 Maryland Ave Ne Apt H, Washington, DC 20002","9,500 sqft",4.5,5,$2.50m
2159,"2800 Sherman Ave Nw #b, Washington, DC 20001","1,717 sqft",2.5,2,$925k
2160,"2800 Sherman Ave Nw #a, Washington, DC 20001","1,445 sqft",3,2,$770k
2161,"1011 Girard St Nw #b, Washington, DC 20001","1,494 sqft",2.5,2,$835k
2162,"1011 Girard St Nw #a, Washington, DC 20001","1,225 sqft",3,2,$735k
2163,"3883 Connecticut Ave Nw #p-100, Washington, DC 20008",N/A,N/A,N/A,$25k
2164,"3883 Connecticut Ave Nw #p-30, Washington, DC 20008",N/A,N/A,N/A,$24k
2165,"1543 Fort Davis St Se, Washington, DC 20020",986 sqft,2,2,$373k
2166,"2141 Wisconsin Ave Nw Ste G4, Washington, DC 20007",992 sqft,1,2,$499k
2167,"3011 20th St Ne, Washington, DC 20018",0.1 acres,N/A,N/A,$1.30m
2168,"3601 Connecticut Ave Nw Apt 312, Washington, DC 20008",733 sqft,1,1,$370k
2169,"3932 Ames St Ne, Washington, DC 20019","1,267 sqft",2,3,$300k
2170,"3535 R St Nw, Washington, DC 20007","1,700 sqft",3,3,$1.15m
2171,"3101 Chain Bridge Rd Nw, Washington, DC 20016","15,000 sqft",11,7,$8.15m
2172,"506 A St Se, Washington, DC 20003","7,125 sqft",7,8,$3.75m
2173,"Lowell St Nw, Washington, DC 20016",0.15 acres,N/A,N/A,$1.90m
2174,"2718 32nd St Nw, Washington, DC 20008","7,500 sqft",9,5,$5.38m
2175,"3060 16th St Nw Apt 210, Washington, DC 20009",N/A,1,1,$281k
2176,"1310 N Capitol St Nw, Washington, DC 20002",0.05 acres,N/A,N/A,$1.50m
2177,"1375 Maryland Ave Ne Apt C, Washington, DC 20002","1,275 sqft",1,1,$619k
2178,"200 51st St Ne, Washington, DC 20019","1,898 sqft",4,4,$446k
2179,"4995 Glenbrook Rd Nw, Washington, DC 20016","5,250 sqft",5,3,$2.09m
2180,"1527 Park Rd Nw Apt 101, Washington, DC 20010","1,288 sqft",1,3,$495k
2181,"4000 Cathedral Ave Nw Apt 331b, Washington, DC 20016",980 sqft,1,1,$249k
2182,"1155 23rd St Nw Apt Ph3e, Washington, DC 20037","5,100 sqft",5.5,3,$7.20m
2183,"51st St Ne, Washington, DC 20019",0.04 acres,N/A,N/A,$40k
2184,"51st Street Ne, Washington, DC 20019",0.04 acres,N/A,N/A,$40k
2185,"1155 23rd St Nw Apt 2c, Washington, DC 20037","1,750 sqft",2.5,2,$1.50m
2186,"1515 31st St Nw, Washington, DC 20007","6,372 sqft",6,8,$5.20m
2187,"2124 31st Pl Se, Washington, DC 20020","1,508 sqft",2,3,$250k
2188,"1010 22nd St Nw, Washington, DC 20037","2,906 sqft",3,3,$1.68m
2189,"2829 Tilden St Nw, Washington, DC 20008","6,185 sqft",7,7,$4.50m
2190,"925 H St Nw Apt 810, Washington, DC 20001","1,389 sqft",3,2,$2.70m
2191,"1414 22nd St Nw Apt 51, Washington, DC 20037","1,756 sqft",3,2,$1.60m
2192,"5016 Rock Creek Church Rd Ne, Washington, DC 20011",0.54 acres,N/A,N/A,$3.50m
2193,"5614 7th St Nw #1, Washington, DC 20011","1,000 sqft",2,2,$389k
2194,"3900 Watson Pl Nw #a-5e, Washington, DC 20016","1,250 sqft",2,2,$449k
2195,"635 14th St Ne, Washington, DC 20002","1,594 sqft",N/A,N/A,$650k
2196,"4328 Alabama Ave Se, Washington, DC 20019","2,556 sqft",4,6,$495k
2197,"1718 P St Nw #p12, Washington, DC 20036",180 sqft,N/A,N/A,$35k
2198,"210 D St Se, Washington, DC 20003","3,051 sqft",5,5,$2.12m
2199,"1107 Massachusetts Ave Nw, Washington, DC 20005","4,365 sqft",4,8,$2.99m
2200,"234 Upshur St Nw, Washington, DC 20011","2,500 sqft",3,3,$1m
2201,"1139 Morse St Ne, Washington, DC 20002","1,536 sqft",3,3,$750k
2202,"6411 6th St Nw, Washington, DC 20012","1,088 sqft",1.5,3,$370k
2203,"4000 Cathedral Ave Nw Apt 405b, Washington, DC 20016",950 sqft,1,1,$229k
2204,"1046 48th Pl Ne, Washington, DC 20019","1,652 sqft",2,5,$265k
2205,"1123 48th Pl Ne, Washington, DC 20019","1,003 sqft",1,2,$500k
2206,"70 Darrington St Sw, Washington, DC 20032","1,336 sqft",2,3,$195k
2207,"228 Malcolm X Ave Se, Washington, DC 20032","1,440 sqft",2,3,$329k
2208,"4204 3rd St Nw, Washington, DC 20011","1,368 sqft",1,3,$599k
2209,"2423 3rd St Ne, Washington, DC 20002","2,100 sqft",3.5,4,$779k
2210,"1232 Florida Ave Ne, Washington, DC 20002","1,320 sqft",1,3,$609k
2211,"720 Chesapeake St Se, Washington, DC 20032","1,122 sqft",1,3,$315k
2212,"1451 Park Rd Nw Apt 308, Washington, DC 20010",578 sqft,1,1,$319k
2213,"4322 Gorman Ter Se, Washington, DC 20019",832 sqft,1.5,3,$298k
2214,"439 Elm St Nw, Washington, DC 20001",780 sqft,1,2,$549k
2215,"4301 Massachusetts Ave Nw Apt 5009, Washington, DC 20016","1,045 sqft",2,2,$349k
2216,"3419 Wisconsin Ave Nw, Washington, DC 20016","2,480 sqft",4,5,$950k
2217,"5149 Yuma St Nw, Washington, DC 20016","3,848 sqft",5.5,5,$1.45m
2218,"1260 21st St Nw Apt 600, Washington, DC 20036",420 sqft,1,N/A,$260k
2219,"1824 Bruce Pl Se, Washington, DC 20020","1,360 sqft",3,4,$290k
2220,"2802 Sherman Ave Nw #b, Washington, DC 20001","1,580 sqft",3,2,$875k
2221,"2802 Sherman Ave Nw #a, Washington, DC 20001","1,305 sqft",3,2,$750k
2222,"1805 Hoban Rd Nw, Washington, DC 20007","7,800 sqft",8,6,$4.75m
2223,"1450 T St Nw, Washington, DC 20009","1,800 sqft",4,2,$1.75m
2224,"1319 21st St Nw, Washington, DC 20036","3,434 sqft",5,7,$2.19m
2225,"925 H St Nw Apt 410, Washington, DC 20001","1,452 sqft",2,2,$1.50m
2226,"1315 Trinidad Ave Ne, Washington, DC 20002","1,460 sqft",2,4,$830k
2227,"2845 Mcgill Ter Nw, Washington, DC 20008","8,890 sqft",5.5,5,$5.00m
2228,"243 12th St Ne, Washington, DC 20002","3,075 sqft",3.5,3,$1.10m
2229,"1731 Riggs Pl Nw, Washington, DC 20009","3,596 sqft",4,4,$2.40m
2230,"1155 23rd St Nw Apt 5k, Washington, DC 20037","1,422 sqft",2,2,$1.85m
2231,"2022 1st St Nw, Washington, DC 20001","3,004 sqft",4.5,6,$1.40m
2232,"1517 Montana Ave Ne, Washington, DC 20018","1,128 sqft",1.5,3,$460k
2233,"3101 Naylor Rd Se Apt C, Washington, DC 20020",848 sqft,1,2,$139k
2234,"2555 Pennsylvania Ave Nw #1c, Washington, DC 20037","5,991 sqft",2,N/A,$2.95m
2235,"2900 Pomeroy Rd Se Apt 103, Washington, DC 20020",N/A,1,1,$130k
2236,"139 C St Se, Washington, DC 20003","4,140 sqft",5,6,$1.90m
2237,"4200 Massachusetts Ave Nw Apt 306, Washington, DC 20016","2,129 sqft",2.5,2,$895k
2238,"2127 Leroy Pl Nw, Washington, DC 20008","4,368 sqft",6,4,$3.10m
2239,"444 Ridge Rd Se, Washington, DC 20019","2,401 sqft",3.5,4,$999k
